"","name","type"
"1","Earth Liberation Front (ELF)",1
"2","Animal Liberation Front (ALF)",1
"3","Anti-Abortion Activists",1
"4","Coalition to Save the Preserves (CSP)",1
"5","Revenge of the Trees",1
"6","Unaffiliated Individual(s)",1
"7","Al-Qaida",1
"8","Revolutionary Cells-Animal Liberation Brigade",1
"9","White Extremists",1
"10","Neo-Nazi Group",1
"11","Minutemen American Defense",1
"12","The Justice Department",1
"13","Sovereign Citizen",1
"14","Anarchists",1
"15","Veterans United for Non-Religious Memorials",1
"16","United Aryan Empire",1
"17","Business",2
"18","Abortion Related",2
"19","Private Citizens & Property",2
"20","Military",2
"21","Police",2
"22","Government (General)",2
"23","Educational Institution",2
"24","Journalists & Media",2
"25","Airports & Aircraft",2
"26","Government (Diplomatic)",2
"27","Religious Figures/Institutions",2
"28","Unknown",2
"29","Telecommunication",2
"30","NGO",2
"31","Utilities",2
